store_name,phone_numbers,website,cashback_percentage,rating,rating_count,categories,main_category,active,instagram,facebook,notes,city,district,street,house,address_notes,coordinates,operating_hours,total_locations
Avtoline 041,,,2.0,,0,"Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Maşın hissələri | Avtomobil elektronikası | Avtoservis","Avto, moto və digər nəqliyyat",True,https://www.instagram.com/avtoline041/,,,Bakı,Xətai,Babək prospekti,,"Maşın Bazarı, giriş 4","40.393279,49.938504",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-19:00; sun: 10:00-19:00,1
Borjomi,+994512013444,,1.5,,0,Brendlər,Brendlər,True,,,,Bakı,Səbail,Xaqani,18,,"40.37251,49.84258",mon: 09:00-23:00; tue: 09:00-23:00; wed: 09:00-23:00; thu: 09:00-23:00; fri: 09:00-23:00; sat: 09:00-23:00; sun: 09:00-23:00,150
Black Out Barberkhana,+994702228466,,3.0,,0,Gözəllik və sağlamlıq | Manikür və pedikür məhsulları | Kişi kosmetikası və təraş üçün aksesuarlar | Kosmetika və qulluq məhsulları | Bərbərxanalar,Gözəllik və sağlamlıq,True,,,,Bakı,Nərimanov,Üzeyir Hacıbəyov,51,Port Baku ilə üzbə üz,"40.376502,49.85816",mon: 09:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,1
ToysLogiya,,,10.0,,0,Uşaq və analara | Uşaq oyunları və oyuncaqlar,Uşaq və analara,True,https://www.instagram.com/toyslogiya/,,,Bakı,Nərimanov,Aşıq Molla Cümə,7a,,"40.400118,49.868804",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Lady 5XL,,,2.0,,0,Moda və stil | Qadın geyimləri,Moda və stil,True,https://www.instagram.com/lady_5xl.az/,,,Bakı,Nəsimi,Şıxəli Qurbanov,19,Nizami Mall yaxınlığı,"40.37805,49.831271",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Lemfo,,,10.0,,0,Moda və stil | Saat və zinyat əşyaları,Moda və stil,True,https://www.instagram.com/lemfobaku/,,,Bakı,Xətai,Məhəmməd Hadi,1,,"40.386619,49.953429",mon: 12:00-20:00; tue: 12:00-20:00; wed: 12:00-20:00; thu: 12:00-20:00; fri: 12:00-20:00; sat: 12:00-20:00; sun: 12:00-20:00,1
Easy Cars - Rent A Car,,,5.0,,0,"Avto, moto və digər nəqliyyat | Taksi və avtomobil kirayəsi","Avto, moto və digər nəqliyyat",True,https://www.instagram.com/rentacar.easycars/,,,Bakı,Nəsimi,Natiq Şahbazov,36,151 saylı məktəbin yaxınlığında,"40.387739,49.847176",mon: 08:00-18:00; tue: 08:00-18:00; wed: 08:00-18:00; thu: 08:00-18:00; fri: 08:00-18:00; sat: 08:00-18:00; sun: 08:00-18:00,1
Blackshavukha,,,3.0,,0,Restoran və kafelər | Restoran və kafelər | İstirahət və əyləncə | Əyləncə | Restoran və kafelər,Restoran və kafelər,True,https://www.instagram.com/blackshavukha/,,,Bakı,Xətai,Telnov,13,,"40.386472,49.965202",mon: 11:00-23:00; tue: 11:00-23:00; wed: 11:00-23:00; thu: 11:00-23:00; fri: 11:00-23:00; sat: 11:00-23:00; sun: 11:00-23:00,1
Sereneplast,,,2.0,,0,Ev və məişət | Santexnika və su təchizatı,Ev və məişət,True,,,,Bakı,Nərimanov,Ziya Bünyadov prospekti,344H,,"40.428015,49.900129",mon: 09:00-18:00; tue: 09:00-18:00; wed: 09:00-18:00; thu: 09:00-18:00; fri: 09:00-18:00; sat: 09:00-18:00; sun: 09:00-18:00,1
Wuling Azərbaycan,,https://www.wuling.az/,5.0,,0,"Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Avtoservis","Avto, moto və digər nəqliyyat",True,https://www.instagram.com/wuling.azerbaijan/,https://www.facebook.com/p/Wuling-Azerbaijan-61559184516617/,,Bakı,Xətai,Babək prospekti,38A,,"40.390886,49.905819",mon: 09:00-19:00; tue: 09:00-19:00; wed: 09:00-19:00; thu: 09:00-19:00; fri: 09:00-19:00; sat: 09:00-19:00; sun: 10:00-16:00,1
